"API","Surf_X","Surf_Y","Date_Drilling","Date_Completion","Date_Production","Lateral_Length (ft)","Depth_TVD_PPLS (ft)","Erosion_PPLS (ft)","Pressure_PPLS (PSI)","TOC_PPLS (%)","Vcarb_PPLS","Vsand_PPLS","Vclay_PPLS","PR_PPLS","YM_PPLS (PSI)","RHOB_PPLS (g/cc)","Res_PPLS (Ohmm)","GR_PPLS (API)","DT_PPLS (us/ft)","DTs_PPLS (us/ft)","Temperature (F)","Temp_Anomaly (F)","S3Tect_PPLS (PSI)","S3_contrast_PPLS (PSI)","Heat_Flow (W/m2)","Zone","GasCum360","OilCum360"
382,-2.31561571,1.968079602,"23/11/2013","13/03/2014","12/03/2014",0.24046459,-0.321921482,0.95679819,0.486036046,-2.009064329,0.110662543,0.160782267,-0.014354394,0.310320587,1.811978749,-0.022819175,-0.510224745,-0.122168223,-1.889573153,-0.435565293,-0.659746377,0.36394609,-1.463224646,0.949209938,0.198168765,-0.45747705,0.346808479,3.65361875
496,-2.275066571,1.952018883,"11/10/2013","15/03/2014","10/03/2014",-0.692958692,-0.377329498,0.988809551,0.500315463,-2.085692326,0.110662543,-0.015080268,-0.014354394,0.310320587,1.76342817,0.046512648,-0.503222479,-0.147230114,-1.880595859,-0.421683564,-0.558344168,0.38570575,-1.457881292,0.988917015,0.215120088,-0.45747705,-0.523008967,0.365814431
534,-1.090919602,2.077769233,"19/02/2014","09/10/2014","09/10/2014",0.051913087,-2.027364052,1.441384637,1.149701433,-0.208306398,-0.700635425,-0.015080268,1.929090573,0.310320587,-3.00077477,-2.033442031,-0.576589863,0.707912009,-1.440708468,0.064655647,2.27925534,0.99808475,-2.005529409,1.423929812,0.711005955,1.106226833,0.848245246,-0.727236746
173,-1.002429879,1.006312165,"27/10/2014","23/09/2015","25/09/2015",0.124097821,-0.739624622,0.642626032,0.0771076,-0.836655974,-1.511933394,0.864232404,2.206725569,-0.788269704,-2.1237328,-0.369478288,-0.510345059,-0.266463963,-1.180366951,-0.706019677,1.577751537,0.567554336,-1.242669057,1.664731375,0.478223711,-0.45747705,-0.23486223,1.856239383
450,2.869421141,-1.004911891,"13/12/2013","23/07/2014","01/07/2014",0.554717095,0.016117106,0.454264188,-3.253817538,-1.127842362,0.516311528,0.512507335,-1.957799362,0.859615732,-1.780219423,1.571812746,-0.026611208,4.265941179,2.370152703,2.380989743,-0.709616316,0.859755484,0.603688468,-2.719329516,0.465808658,1.627461461,-0.112347221,-0.846812224
704,-1.011015168,0.63494223,"25/03/2014","19/08/2014","19/08/2014",-0.409198014,-0.124173256,0.231936788,-0.223568017,0.021577594,-1.647149722,1.215957472,1.651455578,-0.788269704,-0.857633229,-0.092150998,-0.312717535,-0.379622201,-1.171389658,-1.011417725,0.982636936,0.177434719,-0.910588721,1.312511781,0.223715124,-0.45747705,-1.074090672,0.184021538
362,-1.739415147,2.327785001,NA,"25/10/2014","25/10/2014",0.853412546,-1.883812567,1.375304219,1.232190176,-1.166156361,0.110662543,0.512507335,-0.569624385,0.310320587,-0.494861159,-1.686782918,-0.400185701,0.312997352,-1.835709391,-0.172291114,1.039156199,0.940577078,-1.565992793,1.393380264,0.664210755,1.106226833,2.654307568,-0.840038197
461,-2.285831921,1.934414616,"25/10/2013","14/03/2014","12/03/2014",-0.692958692,-0.328039968,0.974578172,0.46939856,-2.062703927,0.110662543,-0.015080268,-0.014354394,0.310320587,1.793861773,0.046512648,-0.504473743,-0.141154504,-1.880595859,-0.429342449,-0.583279138,0.367054613,-1.450760205,0.968966377,0.200556276,-0.45747705,-0.601819934,0.13011368
407,-2.398956336,1.033040953,"19/12/2014","28/03/2015","15/05/2015",-0.473915362,1.30065753,0.496110602,-0.994765712,-0.583783583,-0.971068082,0.512507335,1.651455578,0.310320587,1.058363533,0.670499051,-0.450284387,0.309959547,-1.853663978,-0.638047071,-0.471902941,-0.225118989,-1.117521804,0.198499771,-0.276945763,-2.021180934,-1.048414528,1.294538583
495,-1.282816896,0.709071631,"29/05/2013","16/10/2013","01/09/2013",-0.334524152,0.037609453,0.862222979,0.005339337,0.197821987,-2.728880347,2.271132678,2.484360564,-0.788269704,-1.28065867,-0.993464692,-0.306846219,-0.597584714,-1.445197115,-0.87164307,1.890269819,1.350902093,-1.513707155,1.143857041,1.268012083,-0.45747705,-0.429846621,2.088388825
136,-1.788850631,2.232944696,"06/01/2014","17/06/2014","17/06/2014",1.303322568,-1.673423611,1.355850972,1.124592366,-1.487993949,0.245878872,0.336644801,-0.569624385,0.310320587,-0.277669837,-1.20146016,-0.404180121,0.167182709,-1.840198038,-0.209628179,0.909494359,0.870635314,-1.582154916,1.375570123,0.608104265,1.106226833,3.881935871,-0.183311449
767,-1.896971286,1.95856431,"26/01/2014","09/10/2014","04/10/2014",0.518624729,-1.122231878,1.271012242,0.796493282,-2.078029526,0.3810952,-0.190942802,-0.29198939,0.310320587,0.345187083,-0.16148282,-0.402231036,-0.133559991,-1.826732097,-0.307278966,0.661806997,0.75717423,-1.588016353,1.300682947,0.537911466,-0.45747705,-0.431925249,-0.448079853
339,-2.034751156,1.549856134,"24/04/2013","06/11/2013","28/03/2014",-1.254879508,-0.236386911,1.062112856,0.222347176,-2.001401529,0.245878872,-0.542667871,0.540915596,0.310320587,1.141414798,0.462503584,-0.403795116,-0.198113349,-1.790822922,-0.458063268,0.36923669,0.547348938,-1.383490827,1.019319836,0.394899605,-0.45747705,-0.616967384,0.231850465
