API;Surf_X;Surf_Y;Date_Drilling;Date_Completion;Date_Production;Lateral_Length (ft);Depth_TVD_PPLS (ft);Erosion_PPLS (ft);Pressure_PPLS (PSI);TOC_PPLS (%);Vcarb_PPLS;Vsand_PPLS;Vclay_PPLS;PR_PPLS;YM_PPLS (PSI);RHOB_PPLS (g/cc);Res_PPLS (Ohmm);GR_PPLS (API);DT_PPLS (us/ft);DTs_PPLS (us/ft);Temperature (F);Temp_Anomaly (F);S3Tect_PPLS (PSI);S3_contrast_PPLS (PSI);Heat_Flow (W/m2);Zone;Nbr_Stages;Frac_Gradient (PSI/ft);Proppant_Designed (kg);Proppant_in_Formation (kg);Avg_Breakdown_Pressure (KPa);Avg_Treating_Pressure (KPa);Max_Treating_pressure (KPa);Min_Treating_Pressure (KPa);Avg_Rate_Slurry (bpm);Max_Rate_Slurry (bpm);Min_Rate_Slurry (bpm);ShutInPressure_Fil (KPa);ShutInPressure_Initial (KPa);ISIP (KPa);Shot_Density (shots/ft);Shot_Total;Proppant_per_ft (kg/ft);Stage_Spacing (ft);GasCum360;OilCum360
661;0,429600432;-0,193200807;01/06/2013;21/03/2014;08/05/2014;-1,124200249;-0,214335515;-1,262296348;-0,153197128;0,466019977;-0,024553785;0,160782267;-0,29198939;0,310320587;-0,051067152;-0,092150998;0,121735765;-0,260388352;0,260488686;-0,977910102;0,477288224;0,040659714;0,55405927;-0,316393256;-0,490866676;1,106226833;-0,648356761;-0,125815349;-0,23107551;-0,23439116;1,308159601;-0,248357628;-0,073026892;-0,885106315;0,567218678;0,212973289;0,635528086;-0,067824941;0,069977811;-0,253698361;-1,253690467;0,181738053;0,979099612;-0,184433857;-0,323593339;-0,659768196
523;-0,08267243;-0,539854429;31/08/2014;17/02/2015;03/08/2015;1,286520949;0,870034135;0,717834247;0,674375881;0,328089582;-0,294986441;0,160782267;0,540915596;-0,788269704;-0,359022615;1,017158165;-0,007986624;0,157309843;-0,655195271;-0,839571488;-0,766135579;-0,43339002;-0,321814044;1,460814541;-0,567983256;-0,45747705;2,198988109;0,25640413;2,391081005;2,442702715;-0,323281739;0,465576712;0,217985614;-1,453487391;-0,954223413;0,621123431;-1,364776098;0,835788921;1,136126104;0,995648682;0,667339212;-0,560749524;1,999633549;-1,225036347;-0,35634279;1,782546563
703;-0,457414573;-0,082104398;04/11/2013;08/07/2014;30/07/2014;-0,781945045;0,511093308;0,592494615;-0,937429704;1,646091132;0,3810952;-0,190942802;-0,847259381;0,310320587;1,3025431;-0,300146465;0,003900384;-0,055336511;-0,430762928;-0,370943449;-0,187644291;-0,142743134;0,511810199;0,125895504;0,070914472;-0,45747705;-0,502339076;-0,110847718;-0,724317272;-0,718412717;2,394770382;0,382045448;0,053092258;1,101279542;0,824256686;0,512363902;0,667126506;-0,287786018;0,979601925;-0,386425009;-1,253690467;0,181738053;-0,492790746;-0,181300034;-1,06714518;0,283034811
473;0,376282364;-0,310432333;24/11/2011;11/05/2012;13/07/2012;-0,442801253;0,025900472;-1,093254679;0,164814662;0,665252769;-0,294986441;0,336644801;-0,014354394;0,310320587;-0,013319791;0,254508116;0,180063918;-0,110776454;0,103386046;-1,094229421;0,513859512;0,059310851;0,613476152;-0,077870287;-0,16139027;-0,45747705;-1,086409818;-0,411446508;-0,423782679;-0,435049992;-0,65522537;0,061635451;-0,067098527;-0,170270365;0,082610618;0,759122148;0,033723065;-1,034050505;-1,34210278;-1,546777614;-0,293175628;-1,3032371;-0,295062364;2,135884543;-0,734454103;-0,328649714
309;-0,113110237;-0,111412279;20/11/2014;07/04/2015;23/07/2015;0,258510774;0,190913245;1,229473867;-0,34712646;0,580961972;1,05717684;-1,070255474;-0,29198939;0,310320587;-0,23453074;-0,300146465;-0,164827755;-0,040906937;-0,067182534;0,072314533;-0,513461224;-0,554622411;-0,070280205;0,797692118;-0,351674832;-0,45747705;1,395890838;0,123856555;1,463522346;1,519380766;-0,213353169;-0,675810425;-0,212471405;-0,932630566;-0,145624272;0,2257357;-0,868363537;0,923707008;1,470666882;0,561382711;0,667339212;-0,560749524;2,034629795;-1,226545742;-0,271119034;0,975603239
382;-2,31561571;1,968079602;23/11/2013;13/03/2014;12/03/2014;0,24046459;-0,321921482;0,95679819;0,486036046;-2,009064329;0,110662543;0,160782267;-0,014354394;0,310320587;1,811978749;-0,022819175;-0,510224745;-0,122168223;-1,889573153;-0,435565293;-0,659746377;0,36394609;-1,463224646;0,949209938;0,198168765;-0,45747705;;;;;;;;;;;;;;;;;;;0,346808479;3,65361875
772;-0,31818133;0,375489325;10/10/2014;04/02/2015;10/05/2015;1,178243848;-0,388168846;-0,007004977;-1,201315079;-0,606771982;0,786744184;-0,894392939;-0,29198939;0,310320587;0,779367687;-0,230814643;-0,189299591;0,063137886;0,04054499;1,469103723;0,088302703;0,051539544;-0,294101742;-1,152382364;0,484908739;-0,45747705;0,373767038;0,127442383;0,248704968;0,285253277;2,470983066;0,69622924;0,789141048;0,981268254;-1,480983491;-1,209912047;-1,102826574;0,553069691;0,927947872;0,799663329;0,667339212;-0,560749524;-0,485870034;-0,213844495;-0,55036283;-0,123280426
774;-0,465667662;0,782771184;03/05/2014;01/07/2014;02/09/2014;0,607611082;-0,838949081;-0,907872183;-0,668238673;-1,878796734;0,651527856;-1,070255474;0,263280601;-0,238974559;0,250620925;0,739830874;-0,505003124;0,063897337;-0,287126229;0,623275587;0,158120617;0,165000628;-0,976842253;-0,153210592;0,464614903;-0,45747705;1,687926209;-0,016707416;1,800816404;1,850632207;-0,704899318;-0,739718809;-0,424137815;-0,186942657;0,22665228;-0,688972381;0,491472406;0,217194774;0,695182467;0,183033783;1,627854051;0,181738053;2,045059279;-1,232963899;0,657850864;0,851117856
335;0,985879388;-0,436163144;16/07/2013;16/01/2014;09/03/2014;-0,396752371;-0,284309875;1,452998921;-0,108939668;-1,18914476;1,05717684;-1,070255474;-0,847259381;0,310320587;1,198365646;0,046512648;-0,197312493;-0,218618533;1,13577482;0,061304885;0,852975095;1,212572827;1,472425458;-0,63288468;0,586377923;0,584992205;-0,35632139;0,253035028;-0,55516227;-0,525415966;-0,727914148;-2,163094718;-1,50763139;-1,017105949;-2,280848488;-3,126414511;0,179931301;;1,981787202;1,18441426;-1,253690467;0,181738053;-0,498263392;-0,149417814;-0,674947843;-0,846180319
269;0,406886271;-0,238452176;05/05/2013;15/03/2014;03/05/2014;-0,488850135;-0,120787901;-1,202807954;-0,056974817;0,580961972;-0,159770113;0,160782267;-0,29198939;0,310320587;-0,010961943;0,046512648;0,157324601;-0,209505118;0,193158983;-1,029607577;0,555417795;0,113710001;0,570688683;-0,24496281;-0,326128473;1,106226833;-0,35632139;-0,012399989;-0,560242;-0,547199691;1,847711265;-0,39024322;0,07063117;0,011937887;0,049916243;0,117872741;0,60530951;-0,5016954;-0,271510784;0,176120088;-1,253690467;0,181738053;-0,452958867;-0,212425405;-0,152747792;-0,596577646
496;-2,275066571;1,952018883;11/10/2013;15/03/2014;10/03/2014;-0,692958692;-0,377329498;0,988809551;0,500315463;-2,085692326;0,110662543;-0,015080268;-0,014354394;0,310320587;1,76342817;0,046512648;-0,503222479;-0,147230114;-1,880595859;-0,421683564;-0,558344168;0,38570575;-1,457881292;0,988917015;0,215120088;-0,45747705;;;;;;;;;;;;;;;;;;;-0,523008967;0,365814431
534;-1,090919602;2,077769233;19/02/2014;09/10/2014;09/10/2014;0,051913087;-2,027364052;1,441384637;1,149701433;-0,208306398;-0,700635425;-0,015080268;1,929090573;0,310320587;-3,00077477;-2,033442031;-0,576589863;0,707912009;-1,440708468;0,064655647;2,27925534;0,99808475;-2,005529409;1,423929812;0,711005955;1,106226833;;;;;;;;;;;;;;;;;;;0,848245246;-0,727236746
